timestamp,eps_battery_voltage_v,eps_bus_current_a,tcs_panel_temp_c,tcs_obc_temp_c,aocs_rw_rpm,comms_rssi_dbm
2026-03-14T09:00:00+00:00,28.0152,4.9836,22.4434,34.5857,2363.5915,-66.0909
2026-03-14T09:00:01+00:00,27.9480,4.2220,22.3228,34.5498,2411.7506,-65.4186
2026-03-14T09:00:02+00:00,28.0376,4.7915,22.0447,34.6216,2394.6454,-64.4192
2026-03-14T09:00:03+00:00,28.0471,4.5138,21.6861,33.9894,2395.4578,-64.8085
2026-03-14T09:00:04+00:00,27.9025,4.6609,21.5120,34.7944,2414.2097,-63.7947
2026-03-14T09:00:05+00:00,27.9350,4.1700,22.7752,34.7143,2420.6686,-67.2545
2026-03-14T09:00:06+00:00,28.0065,4.7931,22.4604,34.3958,2400.9900,-64.2113
2026-03-14T09:00:07+00:00,27.9843,4.6567,21.5858,35.1264,2398.0921,-66.4903
2026-03-14T09:00:08+00:00,27.9993,4.4916,22.0259,35.1946,2461.8062,-65.2933
2026-03-14T09:00:09+00:00,27.9575,4.6283,21.8222,34.5577,2435.9041,-61.5915
2026-03-14T09:00:10+00:00,28.0442,4.3461,21.3256,34.8880,2424.8813,-67.8048
2026-03-14T09:00:11+00:00,28.0391,4.3832,22.1093,36.7306,2403.7986,-65.5681
2026-03-14T09:00:12+00:00,28.0036,4.4063,21.7537,36.7003,2369.6777,-67.5593
2026-03-14T09:00:13+00:00,28.0566,4.1284,21.4317,34.1611,2433.6590,-64.7047
2026-03-14T09:00:14+00:00,28.0237,4.6712,21.1160,34.2731,2404.1538,-62.9152
2026-03-14T09:00:15+00:00,27.9573,4.7371,21.0655,34.1575,2382.4974,-64.6732
2026-03-14T09:00:16+00:00,28.0188,4.3584,21.7811,35.8510,2392.5057,-65.2468
2026-03-14T09:00:17+00:00,27.9524,4.5682,21.9532,34.6868,2370.8020,-62.3574
2026-03-14T09:00:18+00:00,28.0443,4.4454,21.4793,35.1977,2431.4948,-64.3540
2026-03-14T09:00:19+00:00,27.9979,4.5641,22.3952,36.6039,2420.2535,-63.3767
2026-03-14T09:00:20+00:00,27.9912,4.3728,21.9657,34.9983,2405.1989,-63.5862
2026-03-14T09:00:21+00:00,27.9664,4.3216,22.3514,35.5720,2398.4539,-70.7700
2026-03-14T09:00:22+00:00,28.0616,4.7086,21.8958,35.4237,2379.3049,-65.1717
2026-03-14T09:00:23+00:00,27.9928,4.4853,21.5335,34.5371,2335.8102,-67.1753
2026-03-14T09:00:24+00:00,27.9791,4.9024,22.0745,35.8553,2357.3121,-66.6786
2026-03-14T09:00:25+00:00,27.9829,4.5072,21.2486,34.3286,2377.4081,-62.0717
2026-03-14T09:00:26+00:00,28.0272,4.3126,22.3302,36.0806,2372.8859,-65.7713
2026-03-14T09:00:27+00:00,28.0188,4.7431,21.4445,34.5390,2408.3432,-61.2374
2026-03-14T09:00:28+00:00,28.0212,4.6238,22.5579,34.6270,2423.9947,-67.8387
2026-03-14T09:00:29+00:00,28.0221,4.6430,21.8042,34.1389,2395.7842,-67.1915
2026-03-14T09:00:30+00:00,28.1077,4.7356,22.6450,34.2706,2441.8924,-63.5003
2026-03-14T09:00:31+00:00,27.9803,4.3669,21.3342,34.6689,2376.1255,-65.7086
2026-03-14T09:00:32+00:00,27.9751,4.4719,21.6013,33.0656,2395.5338,-64.4120
2026-03-14T09:00:33+00:00,27.9600,4.4630,22.2368,34.8243,2398.0578,-65.2521
2026-03-14T09:00:34+00:00,28.0315,4.2390,22.7108,34.6050,2432.3405,-65.3135
2026-03-14T09:00:35+00:00,28.0572,4.4444,23.0087,35.6437,2402.7390,-65.6376
2026-03-14T09:00:36+00:00,27.9951,4.7643,22.0338,35.3504,2403.5569,-64.6710
2026-03-14T09:00:37+00:00,27.9588,4.5444,23.1119,34.4462,2349.8921,-63.7476
2026-03-14T09:00:38+00:00,27.9596,4.2276,21.8357,34.6458,2372.5277,-61.8028
2026-03-14T09:00:39+00:00,28.0333,4.1856,22.6690,34.8253,2432.3909,-65.4375
2026-03-14T09:00:40+00:00,28.0380,4.8296,21.4447,36.2021,2337.2396,-65.8206
2026-03-14T09:00:41+00:00,28.0280,4.4785,22.2624,34.3558,2439.7771,-66.0791
2026-03-14T09:00:42+00:00,27.9676,4.3670,20.6055,34.4382,2414.4648,-62.0954
2026-03-14T09:00:43+00:00,28.0125,4.4416,21.3378,34.1115,2377.0367,-63.6552
2026-03-14T09:00:44+00:00,28.0068,4.2009,22.2910,33.8290,2374.4884,-68.8347
2026-03-14T09:00:45+00:00,28.0119,4.7809,21.2238,35.2606,2456.3160,-68.9238
2026-03-14T09:00:46+00:00,28.0445,4.4176,22.2677,35.1777,2441.7670,-66.6985
2026-03-14T09:00:47+00:00,28.0122,4.7696,22.5556,36.0419,2395.8291,-64.5789
2026-03-14T09:00:48+00:00,28.0349,4.5063,21.7112,35.8491,2403.4376,-65.1070
2026-03-14T09:00:49+00:00,28.0044,4.7818,21.4309,36.9340,2380.0019,-64.0113
2026-03-14T09:00:50+00:00,28.0155,4.5472,21.7280,34.9576,2403.4183,-65.3926
2026-03-14T09:00:51+00:00,28.0326,4.6664,21.4333,34.8086,2379.1452,-62.2477
2026-03-14T09:00:52+00:00,27.9282,4.6395,21.9523,33.9772,2396.9935,-63.4991
2026-03-14T09:00:53+00:00,27.9851,4.6202,22.0745,35.5749,2453.6472,-64.8890
2026-03-14T09:00:54+00:00,27.9776,4.5651,21.8299,35.1128,2396.4564,-62.7543
2026-03-14T09:00:55+00:00,27.9692,4.4488,23.0184,35.5394,2367.8717,-68.3437
2026-03-14T09:00:56+00:00,27.9874,4.8784,21.5824,34.1074,2358.3086,-65.2168
2026-03-14T09:00:57+00:00,28.0759,4.3139,22.8491,35.3003,2403.1008,-64.7725
2026-03-14T09:00:58+00:00,27.9579,4.4960,21.3898,35.1835,2376.4479,-63.8443
2026-03-14T09:00:59+00:00,28.0496,4.4981,22.0584,35.1309,2406.6604,-68.4795
2026-03-14T09:01:00+00:00,27.9171,4.5755,22.7249,34.4734,2350.6647,-65.5708
2026-03-14T09:01:01+00:00,27.9845,4.4090,22.6941,35.9718,2419.9448,-64.2499
2026-03-14T09:01:02+00:00,28.0094,4.5578,21.7633,36.6609,2367.4198,-64.0974
2026-03-14T09:01:03+00:00,28.0306,4.4610,22.3488,34.1327,2400.6012,-62.6803
2026-03-14T09:01:04+00:00,28.0369,4.1783,22.2687,35.5977,2389.0507,-63.5303
2026-03-14T09:01:05+00:00,28.0410,4.4965,21.6923,32.7194,2450.7389,-65.1759
2026-03-14T09:01:06+00:00,27.9839,4.2744,22.3861,35.5569,2404.3194,-63.7051
2026-03-14T09:01:07+00:00,27.9783,4.1475,23.1342,33.5262,2457.5264,-65.4586
2026-03-14T09:01:08+00:00,28.0443,4.5217,22.3000,34.6027,2415.9720,-64.7631
2026-03-14T09:01:09+00:00,27.9919,4.5918,22.3571,33.9726,2441.8994,-63.4679
2026-03-14T09:01:10+00:00,27.9377,4.5995,22.4208,34.8509,2392.8608,-65.1490
2026-03-14T09:01:11+00:00,27.9448,4.6075,21.1412,35.6947,2409.4773,-64.3352
2026-03-14T09:01:12+00:00,27.9555,4.1075,22.2941,33.5382,2435.6591,-63.1374
2026-03-14T09:01:13+00:00,28.0264,4.2217,21.4082,34.7368,2426.2360,-63.6365
2026-03-14T09:01:14+00:00,28.0087,4.8885,21.6646,34.6140,2415.0045,-62.5947
2026-03-14T09:01:15+00:00,28.0361,4.2843,23.3159,36.2898,2389.2242,-60.4056
2026-03-14T09:01:16+00:00,27.9802,4.6158,21.8670,35.3707,2394.2864,-63.6575
2026-03-14T09:01:17+00:00,28.0095,4.3562,21.5752,34.0839,2433.1671,-65.9868
2026-03-14T09:01:18+00:00,28.0329,4.5094,22.7111,34.6490,2439.4021,-64.0414
2026-03-14T09:01:19+00:00,27.9862,4.3668,21.4511,36.2712,2381.2263,-64.1282
2026-03-14T09:01:20+00:00,28.0245,4.6056,21.7516,35.5982,2376.6870,-63.8397
2026-03-14T09:01:21+00:00,27.9686,4.5206,22.7697,34.2924,2371.8632,-62.0775
2026-03-14T09:01:22+00:00,27.9836,4.4035,22.0462,34.8137,2423.8657,-68.4366
2026-03-14T09:01:23+00:00,27.9826,4.2830,21.0838,34.8396,2371.0780,-62.0415
2026-03-14T09:01:24+00:00,27.9420,4.5466,22.3474,34.5976,2423.4778,-61.3692
2026-03-14T09:01:25+00:00,28.0261,4.2504,21.7834,33.6602,2415.3079,-63.9347
2026-03-14T09:01:26+00:00,27.9783,4.5783,22.9454,34.4866,2382.5719,-63.8874
2026-03-14T09:01:27+00:00,28.0024,5.0180,21.6580,36.1404,2445.8280,-65.5558
2026-03-14T09:01:28+00:00,28.0259,4.7627,22.6527,34.7244,2355.0319,-65.0607
2026-03-14T09:01:29+00:00,28.0242,4.6363,23.0877,34.9471,2448.6732,-63.6783
2026-03-14T09:01:30+00:00,28.0351,4.4754,21.5119,35.1424,2408.4413,-63.8079
2026-03-14T09:01:31+00:00,27.9970,4.1047,21.9068,36.8049,2336.6582,-63.6344
2026-03-14T09:01:32+00:00,27.9808,4.2279,22.2562,35.0378,2446.6061,-63.8234
2026-03-14T09:01:33+00:00,27.9980,4.7488,21.5088,35.9062,2428.0036,-63.2807
2026-03-14T09:01:34+00:00,27.9176,4.3342,22.1857,34.5528,2385.9783,-63.5051
